Pb3+ + H2 --> Pb+
X = Energy (eV),Y = Cross section (cm2)
1.492470e+03,6.300000e-16
1.790550e+03,6.500000e-16
2.090700e+03,6.300000e-16
2.380500e+03,6.200000e-16
2.691000e+03,5.500000e-16
2.980800e+03,6.500000e-16
3.291300e+03,6.200000e-16
3.581100e+03,5.000000e-16
Pb3+ + H2 --> Pb+
X = Energy (eV),Y = Cross section (cm2)
1.492470e+03,6.300000e-16
1.790550e+03,6.500000e-16
2.090700e+03,6.300000e-16
2.380500e+03,6.200000e-16
2.691000e+03,5.500000e-16
2.980800e+03,6.500000e-16
3.291300e+03,6.200000e-16
3.581100e+03,5.000000e-16
