Pb6+ + H2 --> Pb5+
X = Energy (eV),Y = Cross section (cm2)
2.980800e+03,8.700000e-15
3.581100e+03,9.100000e-15
4.181400e+03,8.500000e-15
4.781700e+03,9.700000e-15
5.382000e+03,8.400000e-15
5.961600e+03,8.600000e-15
6.561900e+03,8.800000e-15
7.162200e+03,9.300000e-15
Pb6+ + H2 --> Pb5+
X = Energy (eV),Y = Cross section (cm2)
2.980800e+03,8.700000e-15
3.581100e+03,9.100000e-15
4.181400e+03,8.500000e-15
4.781700e+03,9.700000e-15
5.382000e+03,8.400000e-15
5.961600e+03,8.600000e-15
6.561900e+03,8.800000e-15
7.162200e+03,9.300000e-15
