Pb4+ + H2 --> Pb2+
X = Energy (eV),Y = Cross section (cm2)
1.987200e+03,1.300000e-15
2.380500e+03,2.000000e-15
2.794500e+03,1.500000e-15
3.187800e+03,3.000000e-15
3.581100e+03,1.400000e-15
3.974400e+03,2.200000e-15
4.781700e+03,1.600000e-15
Pb4+ + H2 --> Pb2+
X = Energy (eV),Y = Cross section (cm2)
1.987200e+03,1.300000e-15
2.380500e+03,2.000000e-15
2.794500e+03,1.500000e-15
3.187800e+03,3.000000e-15
3.581100e+03,1.400000e-15
3.974400e+03,2.200000e-15
4.781700e+03,1.600000e-15
